slug,description
1-5-inch-brass-pyramid-for-vastu-healing,"Item Name Brass Pyramid – Energized Vastu Corrector & Spiritual Enhancer Material Pure Brass Dimensions length- 4.3cm, height- 4.3cm, weight- 222 gram About Product The Brass Pyramid is a sacred geometric tool widely used in Vastu Shastra and spiritual practices for energy correction and positivity. Crafted from pure brass, this pyramid symbolizes stability, focus, and upward spiritual movement. Its structure helps in balancing the flow of energy in homes and offices, harmonizing the space with cosmic vibrations. Ideal for those seeking peace, prosperity, and spiritual balance, the brass pyramid radiates protective energy and wards off negative influences. It acts as a powerful energizer when placed in pooja rooms, workstations, or near electronic appliances to neutralize electromagnetic stress. Benefits Corrects vastu defects and stabilizes space energy Attracts prosperity, peace, and positivity Protects against negativity and evil influences Enhances meditation and mental clarity Harmonizes electromagnetic fields in homes/offices Uses Place at home corners for Vastu correction Keep on your office desk or workspace Use during meditation for concentration and grounding Ideal gift for housewarming or spiritual occasions Brass Pyramid | Vastu Brass Pyramid | Energy Pyramid for home | Healing Brass Pyramid | Pyramid for positivity | Small brass pyramid | Spiritual pyramid tool | Vastu remedy product | Brass pyramid for meditation | Buy brass pyramid online"
1-5-inch-vastu-pyramid-yantra,"Item Name: Vastu Pyramid (Vastu Devta Yantra) Material: Made from High-Quality Gold Platted Metal material to ensure durability, sacred precision, and effective Vastu energy balancing. Dimensions length- 4.2cm, height- 4.2cm, weight- 74 gram About Product: Satvik’s Vastu Pyramid (Vastu Devta Yantra) is a powerful spiritual tool designed to balance the energy fields of your space as per the ancient science of Vastu Shastra. Crafted in high-quality Gold Platted Metal and designed with precision, this yantra combines the energies of 45 Vastu Devtas (cosmic deities) residing in various zones of your home or workplace. It corrects Vastu imbalances, removes negative vibrations, and enhances the flow of positive cosmic energy. Ideal for placing in homes, offices, factories, or any area facing architectural or energetic imbalances, this Vastu Pyramid is a must-have for overall harmony and growth . Benefits: Corrects Vastu defects and architectural flaws Enhances the flow of positive energy in all directions Balances the energies of all 45 Vastu Devtas Protects against financial loss, health issues, and disharmony Promotes peace, prosperity, and spiritual well-being Ideal for new homes, renovations, or existing structures Activates spiritual protection and divine alignment Uses: Place at the center of the house, near the main entrance, or Vastu-challenged corners Ideal for correcting Vastu dosh in homes, offices, shops, and factories Use during Vastu Shanti rituals or housewarming ceremonies Can be placed on pooja altar to continuously purify space energy Vastu Pyramid | Vastu Devta Yantra | Gold Platted Metal Vastu Yantra | Vastu Correction Tool | Energy Balancing Yantra | Vastu Dosh Nivaran Yantra | Pyramid Yantra for Home | Office Vastu Remedy | Vastu Shastra Yantra | Brass Pyramid for Vastu"
1-inch-brass-pyramid-for-vastu-healing,"Item Name Brass Pyramid – Energized Vastu Corrector & Spiritual Enhancer Material Pure Brass Dimensions length- 3cm, height- 3.3cm, weight- 90 gram About Product The Brass Pyramid is a sacred geometric tool widely used in Vastu Shastra and spiritual practices for energy correction and positivity. Crafted from pure brass, this pyramid symbolizes stability, focus, and upward spiritual movement. Its structure helps in balancing the flow of energy in homes and offices, harmonizing the space with cosmic vibrations. Ideal for those seeking peace, prosperity, and spiritual balance, the brass pyramid radiates protective energy and wards off negative influences. It acts as a powerful energizer when placed in pooja rooms, workstations, or near electronic appliances to neutralize electromagnetic stress. Benefits Corrects vastu defects and stabilizes space energy Attracts prosperity, peace, and positivity Protects against negativity and evil influences Enhances meditation and mental clarity Harmonizes electromagnetic fields in homes/offices Uses Place at home corners for Vastu correction Keep on your office desk or workspace Use during meditation for concentration and grounding Ideal gift for housewarming or spiritual occasions Brass Pyramid | Vastu Brass Pyramid | Energy Pyramid for home | Healing Brass Pyramid | Pyramid for positivity | Small brass pyramid | Spiritual pyramid tool | Vastu remedy product | Brass pyramid for meditation | Buy brass pyramid online"
1-inch-vastu-pyramid-yantra,"Item Name: Vastu Pyramid (Vastu Devta Yantra) Material: Made from High-Quality Gold Platted Metal material to ensure durability, sacred precision, and effective Vastu energy balancing. Dimensions length- 2.7cm, height- 3cm, weight- 32gram About Product: Satvik’s Vastu Pyramid (Vastu Devta Yantra) is a powerful spiritual tool designed to balance the energy fields of your space as per the ancient science of Vastu Shastra. Crafted in high-quality Gold Platted Metal and designed with precision, this yantra combines the energies of 45 Vastu Devtas (cosmic deities) residing in various zones of your home or workplace. It corrects Vastu imbalances, removes negative vibrations, and enhances the flow of positive cosmic energy. Ideal for placing in homes, offices, factories, or any area facing architectural or energetic imbalances, this Vastu Pyramid is a must-have for overall harmony and growth . Benefits: Corrects Vastu defects and architectural flaws Enhances the flow of positive energy in all directions Balances the energies of all 45 Vastu Devtas Protects against financial loss, health issues, and disharmony Promotes peace, prosperity, and spiritual well-being Ideal for new homes, renovations, or existing structures Activates spiritual protection and divine alignment Uses: Place at the center of the house, near the main entrance, or Vastu-challenged corners Ideal for correcting Vastu dosh in homes, offices, shops, and factories Use during Vastu Shanti rituals or housewarming ceremonies Can be placed on pooja altar to continuously purify space energy Vastu Pyramid | Vastu Devta Yantra | Gold Platted Metal Vastu Yantra | Vastu Correction Tool | Energy Balancing Yantra | Vastu Dosh Nivaran Yantra | Pyramid Yantra for Home | Office Vastu Remedy | Vastu Shastra Yantra | Brass Pyramid for Vastu"
1-pair-of-prepossessing-designer-brass-shankh-chakra-diya,"Item Name : Prepossessing Designer Brass Shankh Chakra Diya Material : Made from High Quality Brass which makes it Long Lasting. Size/Dimension : Shankh Diya: Height: 10.5 Cm, Length: 7 Cm; Width: 6.5 Cm, Weight: 100 Grams Chakra Diya: Height: 10.7 Cm, Length: 7 Cm; Width: 6.5 Cm, Weight: 95 Grams About Product : A Brass Designer Shankh Chakra Diya will add more beauty to your home décor and festivities. Carved beautifully out of Brass for this festival Diyas are an essential part of Diwali decoration. To considering this we came with the beautiful range of Diwali Collections. You can décor your home on Diwali festival with Diya. Designer Brass Diya which made from Virgin Quality Brass for long lasting use. Handmade product from the Artisanship of India's Craftsman with Using Modern Style. Shankh Chakra Brass Diya | Designer Brass Diya Pair | Brass Temple Diya | Decorative Puja Lamp | Traditional Indian Diya | Brass Oil Lamp Set | Hindu Pooja Accessories | Brass Shankh Diya | Chakra Design Diya | Spiritual Home Decor Items |"
1-pc-lord-ganesh-face-on-leaf-patta-wall-hanging-blue,"Package Contains 1 Pc Designer Lord Ganesh Face on Leaf Statue Available in 5 Different Shades. Each Comes with Premium Gift Packing. Product Details : Material: Metal, Dimensions: Length: 13cm, Width: 10cm, Weight: 70 Gram Uses: This Showpiece is the Best Gift for Marriage anniversaries, Parents, Mothers' Day, Wedding Return gifts, Birthday, House warming, Office Decor, Return gifts, and Home Decoration. Description: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and Mandir. This Ganpati Sculpture has detailed work and is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamps, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lanterns, big diyas, laxmi ganesha statue, Laxmi, Lakshmi, lord ganesha, Ganpati, Diwali puja, deep mala. Diwali Candles, Candle Holders, Candle Stand, Tea Light candle Holder. Use the above items to decorate your home house."
1-pc-lord-ganesh-face-on-leaf-patta-wall-hanging-green,"Package Contains 1 Pc Designer Lord Ganesh Face on Leaf Statue Available in 5 Different Shades. Each Comes with Premium Gift Packing. Product Details : Material: Metal, Dimensions: Length: 13cm, Width: 10cm, Weight: 70 Gram Uses: This Showpiece is the Best Gift for Marriage anniversaries, Parents, Mothers' Day, Wedding Return gifts, Birthday, House warming, Office Decor, Return gifts, and Home Decoration. Description: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and Mandir. This Ganpati Sculpture has detailed work and is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamps, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lanterns, big diyas, laxmi ganesha statue, Laxmi, Lakshmi, lord ganesha, Ganpati, Diwali puja, deep mala. Diwali Candles, Candle Holders, Candle Stand, Tea Light candle Holder. Use the above items to decorate your home. Green Ganesh wall hanging | Ganesh face on leaf | Leaf patta Ganesh decor | Lord Ganesha wall hanging | Spiritual home decor | Hindu deity wall art | Decorative Ganesh hanging | Traditional Indian wall piece |"
1-pc-lord-ganesh-face-on-leaf-patta-wall-hanging-red,"Package Contains 1 Pc Designer Lord Ganesh Face on Leaf Statue Available in 5 Different Shades. Each Comes with Premium Gift Packing. Product Details : Material: Metal, Dimensions: Length: 13cm, Width: 10cm, Weight: 70 gram Uses: This Showpiece is the Best Gift for Marriage anniversaries, Parents, Mothers' Day, Wedding Return gifts, Birthday, House warming, Office Decor, Return gifts, and Home Decoration. Description: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and Mandir. This Ganpati Sculpture has detailed work and is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamps, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lanterns, big diyas, laxmi ganesha statue, Laxmi, Lakshmi, lord ganesha, Ganpati, Diwali puja, deep mala. Diwali Candles, Candle Holders, Candle Stand, Tea Light candle Holder. Use the above items to decorate your home. Ganesh wall hanging | Ganesh face on leaf | Leaf patta Ganesh decor | Lord Ganesha wall art | Spiritual wall hanging | Decorative Ganesh idol | Hindu god wall decor | Ganesh face decor | Traditional wall hanging |"
1-pc-lord-ganesh-face-on-leaf-patta-wall-hanging-white,"Package Contains 1 Pc Designer Lord Ganesh Face on Leaf Statue Available in 5 Different Shades. Each Comes with Premium Gift Packing. Product Details : Material: Metal, Dimensions: Length: 13cm, Width: 10cm, Weight: 70 Gram Uses: This Showpiece is the Best Gift for Marriage anniversaries, Parents, Mothers' Day, Wedding Return gifts, Birthday, House warming, Office Decor, Return gifts, and Home Decoration. Description: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and Mandir. This Ganpati Sculpture has detailed work and is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamps, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lanterns, big diyas, laxmi ganesha statue, Laxmi, Lakshmi, lord ganesha, Ganpati, Diwali puja, deep mala. Diwali Candles, Candle Holders, Candle Stand, Tea Light candle Holder. Use the above items to decorate your home house. White Ganesh wall hanging | Ganesh face on leaf | Leaf patta Ganesh decor | Lord Ganesha wall hanging | Spiritual wall art | White pooja decor | Decorative Ganesh hanging | Hindu god wall decor |"
1-pc-lord-ganesh-face-on-leaf-patta-wall-hanging-yellow,"Package Contains 1 Pc Designer Lord Ganesh Face on Leaf Statue Available in 5 Different Shades. Each Comes with Premium Gift Packing. Product Details : Material: Metal, Dimensions: Length: 13cm, Width: 10cm, Weight: 70 Gram Uses: This Showpiece is the Best Gift for Marriage anniversaries, Parents, Mothers' Day, Wedding Return gifts, Birthday, House warming, Office Decor, Return gifts, and Home Decoration. Description: Satvik Presents Designer Lord Ganesha On Leaf which is ideal for wall Hanging Decor for homes, offices, and Mandir. This Ganpati Sculpture has detailed work and is made up of Premium Quality Material, Comes with Premium Gift Packing. Ganesha is a Symbol of the God of Success, Patron Of Music, Remover of Obstacles, and many other aspects. The Ganesha with a peepal leaf at the back is the most suitable Ganesha posture that ensures good luck and prosperity. To consider this we came up with a beautiful range of Diwali Collections. You can decor your home on Diwali festival with Diya, Tea-light holders, oil lamps, earthen Did / diya, traditional diya, natural diya, colorful diya, designer diya, clay diya, terracotta diya, plain diya, stone diya, metal diya, shadow diya, door valance, toran, rangoli, colors, puja thali, pooja thali, platter, frills, hanging ball, paper lanterns, big diyas, laxmi ganesha statue, Laxmi, Lakshmi, lord ganesha, Ganpati, Diwali puja, deep mala. Diwali Candles, Candle Holders, Candle Stand, Tea Light candle Holder. Use the above items to decorate your home. Yellow Ganesh wall hanging | Ganesh face on leaf | Leaf patta Ganesh decor | Lord Ganesha wall art | Hindu deity wall hanging | Spiritual wall decor | Traditional Ganesh wall piece | Pooja room wall decor |"
